source_row,halo_id,galaxy_id,kind,ra_gal,dec_gal,observed_redshift_gal,euclid_nisp_h,lm_halo,true_redshift_halo,conc_vir_halo,rs_halo,rvir_halo,hpix_29_nest,h_ab,x_arcmin,y_arcmin,pdz_sigma_log1pz,synthetic_t,synthetic_error_alias,population
67955,4140500203336,0,0,185.93199,61.86753,0.9587227,3.9651013e-29,11.530829,0.95577157,4.921808,33.701393,165.87178,791665657462473793,22.40436428,2.067555518,5.61582,0.03603818747,0.6289556574,0,Other hosts
68116,4140510955828,55,1,185.83762,61.73496,1.057169,2.144517e-28,12.807157,1.0540941,4.853552,91.082664,442.07443,791684982755177948,20.57167627,-0.6103914245,-2.33838,0.02000216733,0.715632186,0,Other hosts
69120,4745650283642,0,0,185.86191,61.79445,2.9261258,2.52323e-29,11.939384,2.92811,2.7534611,85.28055,234.81668,791688038196071290,22.8951079,0.07888833845,1.23102,0.04033219413,1.266319742,0,Other hosts
69766,4442570333337,0,0,185.65002,61.703094,1.6468129,4.6064058e-29,11.945381,1.6454142,4.93969,47.133255,232.82368,791684539955400459,22.24159451,-5.933935415,-4.25034,0.034613952,1.225797433,1,Other hosts
69950,4443570190416,0,0,185.73111,61.69037,1.7008737,4.4733105e-29,11.958159,1.7032284,4.132654,57.11213,236.02469,791684087142748777,22.27342739,-3.632836363,-5.01378,0.03489248966,0.9904359844,0,Other hosts
70570,3939460590810,0,0,185.98228,61.78527,0.6719544,1.3512163e-28,11.761964,0.6691214,6.9157243,28.00238,193.65674,791664644227634046,21.07318781,3.494639885,0.68022,0.02439039335,0.4915864067,0,Other hosts
72464,3736400369988,1965,1,185.73537,61.80658,0.27882493,1.121967e-29,14.776993,0.2762364,4.352807,424.61133,1848.2512,791688506398528684,23.77504979,-3.511949916,1.95882,0.04803168568,0.5872907709,1,Other hosts
72465,3736400369988,2083,1,186.04956,61.68763,0.2795956,3.7703167e-28,14.776993,0.2762364,4.352807,424.61133,1848.2512,791660999626662338,19.95905542,5.403851184,-5.17818,0.015,0.03035342636,-1,Other hosts
73319,4140510937270,45,1,185.83704,61.744904,1.0410373,1.3960299e-29,12.957591,1.0411538,2.6066058,191.57147,499.3513,791684988538076847,23.5377632,-0.6268501425,-1.74174,0.045955428,0.6268945115,0,Other hosts
73782,4140500635337,10,1,186.02026,61.730927,0.97838104,1.4554919e-29,12.530241,0.9767101,4.138618,86.213165,356.80338,791664337664361144,23.49247552,4.572402149,-2.58036,0.04555916078,0.6904009547,0,Other hosts
75503,4140510936331,11,1,185.96521,61.847023,1.039991,3.0125408e-28,12.640614,1.0369672,3.6876044,105.75116,389.96844,791665575494243158,20.20266766,3.010242785,4.3854,0.01677334199,0.4549674483,-1,Other hosts
76691,4140500116381,0,0,185.70264,61.72992,0.94700634,6.653126e-29,11.469045,0.94739825,6.700013,23.516964,157.56396,791685233627115076,21.84243563,-4.440732404,-2.64078,0.03112131175,0.6762733231,0,Other hosts
77205,4442570323555,0,0,186.0161,61.705917,1.6326613,2.5447234e-29,11.716468,1.6326933,8.875039,22.005573,195.30032,791661381938277340,22.88589854,4.454353412,-4.08096,0.04025161224,0.9354115369,0,Other hosts
77407,4443580440679,30,1,185.83496,61.769485,1.8129234,1.5069752e-29,12.739977,1.8085811,3.0990994,138.65434,429.70358,791685058780957032,23.45473474,-0.6858745109,-0.26688,0.04522892895,0.9978140813,0,Other hosts
77665,4442570445132,0,0,185.97365,61.795143,1.6504936,4.38951e-29,11.813057,1.64919,4.6626306,45.120647,210.3809,791664655202189550,22.29395989,3.24974551,1.2726,0.03507214906,0.9949762874,0,Other hosts
77851,4443580323700,0,0,185.94673,61.799393,1.7719018,6.407866e-29,12.34148,1.770013,3.1833165,99.41036,316.45465,791664747633417014,21.88321645,2.485833974,1.5276,0.03147814391,0.9833721775,0,Other hosts
77853,4443580402533,0,0,185.6863,61.743088,1.7924498,2.3509061e-29,11.833706,1.7905663,4.992724,42.902134,214.1985,791685263919442591,22.97191179,-4.904414221,-1.8507,0.04100422819,0.9412990626,0,Other hosts
77854,4443580440912,0,0,185.65681,61.82145,1.8172563,3.5778295e-29,11.8215275,1.8127214,4.2192364,50.79196,214.30328,791685706804257839,22.5159509,-5.741254904,2.85102,0.03701457036,1.014415487,0,Other hosts
