z,pi_reference
3.07,5.002299216e-13
3.074,5.002299216e-13
3.078,5.002299216e-13
3.082,5.002299216e-13
3.086,5.002299216e-13
3.09,5.002299216e-13
3.094,5.002299216e-13
3.098,5.002299216e-13
3.102,5.002299216e-13
3.106,5.002299216e-13
3.11,5.002299216e-13
3.114,5.002299216e-13
3.118,5.002299216e-13
3.122,5.002299216e-13
3.126,5.002299216e-13
3.13,5.002299216e-13
3.134,5.002299216e-13
3.138,5.002299216e-13
3.142,5.002299216e-13
3.146,5.002299216e-13
3.15,5.002299216e-13
3.154,5.002299216e-13
3.158,5.002299216e-13
3.162,5.002299216e-13
3.166,5.002299216e-13
3.17,5.002299216e-13
3.174,5.002299216e-13
3.178,5.002299216e-13
3.182,5.002299216e-13
3.186,5.002299216e-13
3.19,5.002299216e-13
3.194,5.002299216e-13
3.198,5.002299216e-13
